text,label
"Dear Students, The alumni meet scheduled for 15th May 2026 will be held as per the original timetable in Seminar Hall. — Academic Section",1
MUST SHARE!!! exam has been unexpectedly called off. All students must know NOW!!! Received from department WhatsApp group.,0
Notice from The Examination Controller: mid-semester examination registration is now open. Last date to apply is 20th May 2026.,1
EXCLUSIVE LEAKED INFO: annual function is completely delayed indefinitely. Share before it gets deleted! Passed on from group admin.,0
Notice from Student Affairs Office: project viva registration is now open. Last date to apply is 25th May 2026.,1
Urgent warning: annual function is dangerous. Forward this to protect everyone you know. Do not ignore this message.,0
Hidden truth revealed: workshop is not what they tell you. Spread awareness now! Passed on from group admin.,0
Notice from Principal's Office: practical examination registration is now open. Last date to apply is Wednesday 2PM.,1
"Important: The venue for seminar on cybersecurity has been changed to Room 204. All other details remain the same. — Prof. Sharma, HOD Computer Science",1
"IMPORTANT MESSAGE: Due to staff absence, college is now postponed. Share immediately! Please verify and share.",0
You won't believe this! fest has been delayed indefinitely. The truth is shocking! This is 100% real information.,0
Department of Information Technology announces the commencement of workshop on machine learning from Tuesday 9AM. All students are requested to prepare accordingly.,1
"Students are informed that result declaration will commence from Monday 10AM as per the academic calendar. — Prof. Sharma, HOD Computer Science",1
"Last minute information: workshop tomorrow is cancelled. Stay home, forward this message. Please verify and share.",0
"Last minute information: seminar tomorrow is cancelled. Stay home, forward this message. Please verify and share.",0
Confirmed by insiders: exam is cancelled. The real reason will shock you! Passed on from group admin.,0
Hidden truth revealed: convocation is not what they tell you. Spread awareness now! Please verify and share.,0
Notice: The convocation ceremony has been rescheduled to Wednesday 2PM at 2:00 PM. Please check the official portal for details. — Academic Section,1
"Dear Students, The project viva scheduled for Friday 11AM will be held as per the original timetable in Auditorium A. — Department of Information Technology",1
You won't believe this! workshop has been rescheduled. The truth is shocking! This is 100% real information.,0
You won't believe this! workshop has been rescheduled. The truth is shocking! Do not ignore this message.,0
"100% confirmed: viva examination rescheduled. Don't ignore this, forward to everyone now! Passed on from group admin.",0
Urgent warning: sports day is dangerous. Forward this to protect everyone you know. This is 100% real information.,0
Reminder: annual cultural fest registration deadline is 15th May 2026. Visit the administrative office for further queries. — Department of Information Technology,1
URGENT!!! annual function has been CANCELLED immediately. Forward this to all students NOW!!! Passed on from group admin.,0
"Academic Notice: scholarship application will be conducted online via the college portal on Tuesday 9AM. — Dr. Mehta, Dean Academic Affairs",1
"Reminder: end-semester examination registration deadline is 20th May 2026. Visit the administrative office for further queries. — Dr. Mehta, Dean Academic Affairs",1
Academic Section: The timetable for seminar on cybersecurity is now available on the college website. Check before Wednesday 2PM.,1
"Notice: The seminar on cybersecurity has been rescheduled to Friday 11AM at 10:00 AM. Please check the official portal for details. — Dr. Mehta, Dean Academic Affairs",1
Urgent warning: class is dangerous. Forward this to protect everyone you know. Do not ignore this message.,0
Notice from Department of Information Technology: sports meet registration is now open. Last date to apply is Tuesday 9AM.,1
WARNING: If you attend seminar tomorrow you might technical issues. Share to save people! Please verify and share.,0
Important: The venue for end-semester examination has been changed to Auditorium A. All other details remain the same. — The Registrar,1
"100% confirmed: university event cancelled. Don't ignore this, forward to everyone now! Received from department WhatsApp group.",0
URGENT!!! class has been CANCELLED immediately. Forward this to all students NOW!!! Please verify and share.,0
"The Dr. Mehta, Dean Academic Affairs hereby informs students that result declaration is scheduled on 20th May 2026 in Main Hall. Be present on time.",1
"Prof. Sharma, HOD Computer Science: The timetable for fee payment is now available on the college website. Check before Monday 10AM.",1
"Last minute information: result declaration tomorrow is rescheduled. Stay home, forward this message. This is 100% real information.",0
Students are informed that industrial visit will commence from 25th May 2026 as per the academic calendar. — Department of Information Technology,1
Notice: The workshop on machine learning has been rescheduled to 1st June 2026 at 2:00 PM. Please check the official portal for details. — Academic Section,1
URGENT!!! fest has been CANCELLED immediately. Forward this to all students NOW!!! Do not ignore this message.,0
Circular No. 101: annual cultural fest will be held as per schedule on Wednesday 2PM. Carry your ID cards. — Principal's Office,1
Official communication: end-semester examination result will be declared on Tuesday 9AM. Check the official website for updates. — The Registrar,1
"This is to inform all students that scholarship application will take place on Wednesday 2PM as announced. Attendance is mandatory. — Dr. Mehta, Dean Academic Affairs",1
Department of Information Technology announces the commencement of fee payment from 1st June 2026. All students are requested to prepare accordingly.,1
MUST SHARE!!! annual function has been unexpectedly cancelled. All students must know NOW!!! Please verify and share.,0
Students of first year are reminded that sports meet is compulsory. Contact the office for any clarifications. — Academic Section,1
Message from reliable source: convocation cancelled without prior notice. Tell everyone. Received from department WhatsApp group.,0
Student Affairs Office announces the commencement of annual cultural fest from Friday 11AM. All students are requested to prepare accordingly.,1
Breaking news: Secret information about exam - they don't want you to know this! Do not ignore this message.,0
The Principal's Office hereby informs students that scholarship application is scheduled on Tuesday 9AM in Lab Block 3. Be present on time.,1
Academic Notice: result declaration will be conducted online via the college portal on Friday 11AM. — Academic Section,1
This is to inform all students that annual cultural fest will take place on 25th May 2026 as announced. Attendance is mandatory. — Student Affairs Office,1
Urgent warning: workshop is dangerous. Forward this to protect everyone you know. Do not ignore this message.,0
Students are informed that end-semester examination will commence from Wednesday 2PM as per the academic calendar. — Department of Information Technology,1
Student Affairs Office announces the commencement of industrial visit from 25th May 2026. All students are requested to prepare accordingly.,1
Urgent warning: college is dangerous. Forward this to protect everyone you know. Please verify and share.,0
Alert from higher authorities: sports day moved online with immediate effect. Share urgently! This is 100% real information.,0
BREAKING: result declaration postponed due to water shortage. Share with everyone immediately! This is 100% real information.,0
Academic Notice: scholarship application will be conducted online via the college portal on 1st June 2026. — Department of Information Technology,1
Breaking news: Secret information about class - they don't want you to know this! Do not ignore this message.,0
Academic Notice: annual cultural fest will be conducted online via the college portal on Wednesday 2PM. — Student Affairs Office,1
Don't attend sports day! It has been delayed indefinitely due to water shortage. Spread the word! Please verify and share.,0
URGENT!!! lab practical has been CANCELLED immediately. Forward this to all students NOW!!! Do not ignore this message.,0
Academic Notice: practical examination will be conducted online via the college portal on Monday 10AM. — Student Affairs Office,1
Academic Notice: alumni meet will be conducted online via the college portal on Friday 11AM. — Academic Section,1
Notice from Student Affairs Office: scholarship application registration is now open. Last date to apply is Monday 10AM.,1
Update: result declaration originally scheduled for Monday 10AM stands confirmed. No changes have been made. — The Registrar,1
BREAKING: exam postponed due to government order. Share with everyone immediately! Please verify and share.,0
"Dr. Mehta, Dean Academic Affairs: The timetable for fee payment is now available on the college website. Check before Tuesday 9AM.",1
URGENT!!! result declaration has been CANCELLED immediately. Forward this to all students NOW!!! This is 100% real information.,0
Notice: The project viva has been rescheduled to Tuesday 9AM at 9:30 AM. Please check the official portal for details. — Academic Section,1
"Dear Students, The annual cultural fest scheduled for Friday 11AM will be held as per the original timetable in Computer Centre. — Academic Section",1
BREAKING: annual function postponed due to safety hazard. Share with everyone immediately! Do not ignore this message.,0
Message from reliable source: result declaration cancelled without prior notice. Tell everyone. Passed on from group admin.,0
"Dear Students, The library book submission scheduled for Monday 10AM will be held as per the original timetable in Seminar Hall. — Academic Section",1
VIRAL: lab practical suspended - government trying to hide this. Share before its deleted! This is 100% real information.,0
The The Examination Controller hereby informs students that sports meet is scheduled on 20th May 2026 in Main Hall. Be present on time.,1
"100% confirmed: class banned. Don't ignore this, forward to everyone now! This is 100% real information.",0
"Dear Students, The fee payment scheduled for Monday 10AM will be held as per the original timetable in Seminar Hall. — The Examination Controller",1
Students of second year are reminded that alumni meet is compulsory. Contact the office for any clarifications. — Department of Information Technology,1
The Academic Section hereby informs students that scholarship application is scheduled on Wednesday 2PM in Computer Centre. Be present on time.,1
VIRAL: viva examination suspended - government trying to hide this. Share before its deleted! Received from department WhatsApp group.,0
Confirmed by insiders: project submission is called off. The real reason will shock you! Passed on from group admin.,0
MUST SHARE!!! fest has been unexpectedly rescheduled. All students must know NOW!!! This is 100% real information.,0
MUST SHARE!!! class has been unexpectedly delayed indefinitely. All students must know NOW!!! This is 100% real information.,0
The Registrar: The timetable for industrial visit is now available on the college website. Check before Friday 11AM.,1
"Update: annual cultural fest originally scheduled for 15th May 2026 stands confirmed. No changes have been made. — Prof. Sharma, HOD Computer Science",1
Confirmed by insiders: project submission is merged with another event. The real reason will shock you! Passed on from group admin.,0
MUST SHARE!!! result declaration has been unexpectedly banned. All students must know NOW!!! This is 100% real information.,0
"100% confirmed: seminar merged with another event. Don't ignore this, forward to everyone now! Please verify and share.",0
"Notice: The industrial visit has been rescheduled to Monday 10AM at 9:30 AM. Please check the official portal for details. — Dr. Mehta, Dean Academic Affairs",1
MUST SHARE!!! seminar has been unexpectedly rescheduled. All students must know NOW!!! Do not ignore this message.,0
Students of second year are reminded that practical examination is compulsory. Contact the office for any clarifications. — Student Affairs Office,1
Confirmed by insiders: project submission is suspended. The real reason will shock you! Passed on from group admin.,0
Students are informed that end-semester examination will commence from 20th May 2026 as per the academic calendar. — Department of Information Technology,1
Hidden truth revealed: convocation is not what they tell you. Spread awareness now! Received from department WhatsApp group.,0
*Forwarded as received* college will not happen tomorrow. Reliable source confirmed. Received from department WhatsApp group.,0
Reminder: annual cultural fest registration deadline is 25th May 2026. Visit the administrative office for further queries. — The Registrar,1
Alert from higher authorities: workshop merged with another event with immediate effect. Share urgently! Passed on from group admin.,0
Notice from Department of Information Technology: project viva registration is now open. Last date to apply is 20th May 2026.,1
Official communication: practical examination result will be declared on Friday 11AM. Check the official website for updates. — The Examination Controller,1
"Last minute information: workshop tomorrow is called off. Stay home, forward this message. Passed on from group admin.",0
BREAKING: fest postponed due to staff absence. Share with everyone immediately! Received from department WhatsApp group.,0
Update: library book submission originally scheduled for 25th May 2026 stands confirmed. No changes have been made. — Student Affairs Office,1
"IMPORTANT MESSAGE: Due to administrative decision, viva examination is now cancelled. Share immediately! Do not ignore this message.",0
Alert from higher authorities: annual function delayed indefinitely with immediate effect. Share urgently! Received from department WhatsApp group.,0
"100% confirmed: annual function suspended. Don't ignore this, forward to everyone now! Please verify and share.",0
URGENT!!! exam has been CANCELLED immediately. Forward this to all students NOW!!! This is 100% real information.,0
Update: sports meet originally scheduled for 20th May 2026 stands confirmed. No changes have been made. — Academic Section,1
"Last minute information: exam tomorrow is merged with another event. Stay home, forward this message. Please verify and share.",0
Notice from The Registrar: workshop on machine learning registration is now open. Last date to apply is 1st June 2026.,1
Students of all are reminded that alumni meet is compulsory. Contact the office for any clarifications. — Department of Information Technology,1
Don't attend sports day! It has been delayed indefinitely due to power failure. Spread the word! Do not ignore this message.,0
"IMPORTANT MESSAGE: Due to unexpected maintenance, result declaration is now rescheduled. Share immediately! Please verify and share.",0
"100% confirmed: class merged with another event. Don't ignore this, forward to everyone now! Passed on from group admin.",0
"100% confirmed: college suspended. Don't ignore this, forward to everyone now! Received from department WhatsApp group.",0
Principal's Office: The timetable for workshop on machine learning is now available on the college website. Check before 15th May 2026.,1
The Registrar: The timetable for project viva is now available on the college website. Check before 1st June 2026.,1
Notice from The Registrar: mid-semester examination registration is now open. Last date to apply is 1st June 2026.,1
"Dear Students, The industrial visit scheduled for 25th May 2026 will be held as per the original timetable in Computer Centre. — Student Affairs Office",1
Notice from Principal's Office: result declaration registration is now open. Last date to apply is 20th May 2026.,1
"100% confirmed: convocation cancelled. Don't ignore this, forward to everyone now! Passed on from group admin.",0
"100% confirmed: workshop banned. Don't ignore this, forward to everyone now! Passed on from group admin.",0
"Official communication: industrial visit result will be declared on 1st June 2026. Check the official website for updates. — Prof. Sharma, HOD Computer Science",1
Alert from higher authorities: sports day banned with immediate effect. Share urgently! Passed on from group admin.,0
Circular No. 305: mid-semester examination will be held as per schedule on Tuesday 9AM. Carry your ID cards. — The Examination Controller,1
URGENT!!! convocation has been CANCELLED immediately. Forward this to all students NOW!!! Please verify and share.,0
"This is to inform all students that industrial visit will take place on 15th May 2026 as announced. Attendance is mandatory. — Prof. Sharma, HOD Computer Science",1
Alert from higher authorities: workshop delayed indefinitely with immediate effect. Share urgently! Received from department WhatsApp group.,0
"Dr. Mehta, Dean Academic Affairs announces the commencement of sports meet from Friday 11AM. All students are requested to prepare accordingly.",1
"Important: The venue for alumni meet has been changed to Auditorium A. All other details remain the same. — Dr. Mehta, Dean Academic Affairs",1
Circular No. 202: sports meet will be held as per schedule on 1st June 2026. Carry your ID cards. — The Examination Controller,1
"Dear Students, The seminar on cybersecurity scheduled for 25th May 2026 will be held as per the original timetable in Examination Hall. — Student Affairs Office",1
Don't attend class! It has been merged with another event due to government order. Spread the word! Received from department WhatsApp group.,0
Message from reliable source: class cancelled without prior notice. Tell everyone. Received from department WhatsApp group.,0
The Academic Section hereby informs students that annual cultural fest is scheduled on 20th May 2026 in Auditorium A. Be present on time.,1
"Students are informed that fee payment will commence from 1st June 2026 as per the academic calendar. — Prof. Sharma, HOD Computer Science",1
BREAKING: sports day postponed due to security concerns. Share with everyone immediately! Received from department WhatsApp group.,0
"100% confirmed: convocation delayed indefinitely. Don't ignore this, forward to everyone now! This is 100% real information.",0
MUST SHARE!!! workshop has been unexpectedly suspended. All students must know NOW!!! Passed on from group admin.,0
"This is to inform all students that seminar on cybersecurity will take place on Wednesday 2PM as announced. Attendance is mandatory. — Prof. Sharma, HOD Computer Science",1
BREAKING: annual function postponed due to technical issues. Share with everyone immediately! Passed on from group admin.,0
Urgent warning: project submission is dangerous. Forward this to protect everyone you know. This is 100% real information.,0
*Forwarded as received* project submission will not happen tomorrow. Reliable source confirmed. Received from department WhatsApp group.,0
🚨🚨 ALERT: result declaration is suspended until further notice. Tell everyone ASAP! 🚨🚨 Passed on from group admin.,0
*Forwarded as received* sports day will not happen tomorrow. Reliable source confirmed. Do not ignore this message.,0
EXCLUSIVE LEAKED INFO: university event is completely called off. Share before it gets deleted! Passed on from group admin.,0
"Academic Notice: scholarship application will be conducted online via the college portal on 20th May 2026. — Dr. Mehta, Dean Academic Affairs",1
"This is to inform all students that end-semester examination will take place on Friday 11AM as announced. Attendance is mandatory. — Prof. Sharma, HOD Computer Science",1
This is to inform all students that end-semester examination will take place on Wednesday 2PM as announced. Attendance is mandatory. — Department of Information Technology,1
VIRAL: annual function cancelled - government trying to hide this. Share before its deleted! Received from department WhatsApp group.,0
"Last minute information: university event tomorrow is called off. Stay home, forward this message. Please verify and share.",0
EXCLUSIVE LEAKED INFO: college is completely postponed. Share before it gets deleted! Received from department WhatsApp group.,0
Important: The venue for scholarship application has been changed to Main Hall. All other details remain the same. — Student Affairs Office,1
BREAKING: seminar postponed due to technical issues. Share with everyone immediately! Please verify and share.,0
Message from reliable source: viva examination cancelled without prior notice. Tell everyone. Please verify and share.,0
BREAKING: viva examination postponed due to government order. Share with everyone immediately! Passed on from group admin.,0
"Notice: The practical examination has been rescheduled to 1st June 2026 at 2:00 PM. Please check the official portal for details. — Dr. Mehta, Dean Academic Affairs",1
Circular No. 305: alumni meet will be held as per schedule on 1st June 2026. Carry your ID cards. — The Registrar,1
Notice: The mid-semester examination has been rescheduled to Wednesday 2PM at 9:30 AM. Please check the official portal for details. — Principal's Office,1
"Reminder: practical examination registration deadline is 20th May 2026. Visit the administrative office for further queries. — Prof. Sharma, HOD Computer Science",1
WARNING: If you attend sports day tomorrow you might water shortage. Share to save people! Passed on from group admin.,0
Notice: The industrial visit has been rescheduled to Friday 11AM at 10:00 AM. Please check the official portal for details. — Department of Information Technology,1
Confirmed by insiders: project submission is delayed indefinitely. The real reason will shock you! Received from department WhatsApp group.,0
Important: The venue for workshop on machine learning has been changed to Seminar Hall. All other details remain the same. — Academic Section,1
Students are informed that fee payment will commence from Friday 11AM as per the academic calendar. — The Registrar,1
BREAKING: viva examination postponed due to water shortage. Share with everyone immediately! Do not ignore this message.,0
Academic Notice: project viva will be conducted online via the college portal on 25th May 2026. — Department of Information Technology,1
Shocking revelation: fest is a complete fraud. Share this viral truth immediately! Do not ignore this message.,0
Message from reliable source: seminar cancelled without prior notice. Tell everyone. Do not ignore this message.,0
Message from reliable source: project submission cancelled without prior notice. Tell everyone. Do not ignore this message.,0
"This is to inform all students that project viva will take place on Friday 11AM as announced. Attendance is mandatory. — Prof. Sharma, HOD Computer Science",1
URGENT!!! result declaration has been CANCELLED immediately. Forward this to all students NOW!!! Please verify and share.,0
*Forwarded as received* lab practical will not happen tomorrow. Reliable source confirmed. Please verify and share.,0
"Dear Students, The result declaration scheduled for Monday 10AM will be held as per the original timetable in Auditorium A. — Principal's Office",1
"Academic Notice: annual cultural fest will be conducted online via the college portal on 1st June 2026. — Prof. Sharma, HOD Computer Science",1
MUST SHARE!!! lab practical has been unexpectedly merged with another event. All students must know NOW!!! Please verify and share.,0
"Last minute information: annual function tomorrow is moved online. Stay home, forward this message. This is 100% real information.",0
Alert from higher authorities: university event rescheduled with immediate effect. Share urgently! This is 100% real information.,0
Alert from higher authorities: college suspended with immediate effect. Share urgently! Do not ignore this message.,0
Update: annual cultural fest originally scheduled for Friday 11AM stands confirmed. No changes have been made. — Student Affairs Office,1
VIRAL: sports day suspended - government trying to hide this. Share before its deleted! Received from department WhatsApp group.,0
Alert from higher authorities: college delayed indefinitely with immediate effect. Share urgently! This is 100% real information.,0
This is to inform all students that workshop on machine learning will take place on Friday 11AM as announced. Attendance is mandatory. — Academic Section,1
The Examination Controller: The timetable for library book submission is now available on the college website. Check before 25th May 2026.,1
Academic Notice: fee payment will be conducted online via the college portal on Friday 11AM. — Academic Section,1
EXCLUSIVE LEAKED INFO: exam is completely suspended. Share before it gets deleted! Received from department WhatsApp group.,0
Important: The venue for industrial visit has been changed to Auditorium A. All other details remain the same. — The Registrar,1
Students are informed that mid-semester examination will commence from Friday 11AM as per the academic calendar. — Student Affairs Office,1
Important: The venue for fee payment has been changed to Lab Block 3. All other details remain the same. — The Examination Controller,1
Important: The venue for seminar on cybersecurity has been changed to Room 204. All other details remain the same. — Student Affairs Office,1
VIRAL: fest merged with another event - government trying to hide this. Share before its deleted! Please verify and share.,0
Shocking revelation: fest is a complete fraud. Share this viral truth immediately! Received from department WhatsApp group.,0
Notice from Student Affairs Office: convocation ceremony registration is now open. Last date to apply is Tuesday 9AM.,1
Breaking news: Secret information about exam - they don't want you to know this! Received from department WhatsApp group.,0
Alert from higher authorities: viva examination postponed with immediate effect. Share urgently! Received from department WhatsApp group.,0
Circular No. 202: practical examination will be held as per schedule on 25th May 2026. Carry your ID cards. — Principal's Office,1
"Notice from Prof. Sharma, HOD Computer Science: annual cultural fest registration is now open. Last date to apply is Monday 10AM.",1
Notice from Department of Information Technology: alumni meet registration is now open. Last date to apply is Monday 10AM.,1
Students are informed that seminar on cybersecurity will commence from 20th May 2026 as per the academic calendar. — Student Affairs Office,1
Urgent warning: viva examination is dangerous. Forward this to protect everyone you know. Please verify and share.,0
Important: The venue for industrial visit has been changed to Examination Hall. All other details remain the same. — The Registrar,1
MUST SHARE!!! project submission has been unexpectedly merged with another event. All students must know NOW!!! This is 100% real information.,0
Important: The venue for result declaration has been changed to Main Hall. All other details remain the same. — Academic Section,1
Students are informed that fee payment will commence from 1st June 2026 as per the academic calendar. — Department of Information Technology,1
Notice from The Examination Controller: scholarship application registration is now open. Last date to apply is 25th May 2026.,1
Academic Section announces the commencement of library book submission from 20th May 2026. All students are requested to prepare accordingly.,1
Notice from The Examination Controller: annual cultural fest registration is now open. Last date to apply is Friday 11AM.,1
Alert from higher authorities: viva examination delayed indefinitely with immediate effect. Share urgently! Received from department WhatsApp group.,0
Shocking revelation: university event is a complete fraud. Share this viral truth immediately! Received from department WhatsApp group.,0
Circular No. 523: result declaration will be held as per schedule on Friday 11AM. Carry your ID cards. — Department of Information Technology,1
Academic Notice: library book submission will be conducted online via the college portal on Friday 11AM. — Academic Section,1
The Academic Section hereby informs students that project viva is scheduled on Wednesday 2PM in Lab Block 3. Be present on time.,1
